fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob,seed
MEAN,TEST,0.5760000000000001,0.5703105590062112,0.6136363636363636,0.5472527472527472,0.5605495970275364,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
1,VALIDATION,0.5,0.5454545454545454,0.6666666666666666,0.36363636363636365,0.49236596391733095,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
1,TEST,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
2,VALIDATION,0.85,0.8421052631578947,0.8888888888888888,0.8181818181818182,0.8528028654224418,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
2,TEST,0.56,0.42105263157894735,0.3333333333333333,0.7692307692307693,0.5063696835418333,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
3,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
3,TEST,0.52,0.6,0.75,0.3076923076923077,0.4803844614152614,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
4,VALIDATION,0.65,0.5333333333333333,0.4444444444444444,0.8181818181818182,0.6030226891555273,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
4,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
5,VALIDATION,0.65,0.631578947368421,0.6,0.7,0.648074069840786,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
5,TEST,0.88,0.8571428571428571,0.8181818181818182,0.9285714285714286,0.8716308047219647,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
MEAN,VALIDATION,0.65,0.6438277511961722,0.6977777777777777,0.6127272727272727,0.6329601663902095,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
MEAN,TEST,0.624,0.6054527623406342,0.6303030303030304,0.6164835164835164,0.6003829086903628,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
1,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,777
1,TEST,0.56,0.5925925925925926,0.6666666666666666,0.46153846153846156,0.5547001962252291,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,777
2,VALIDATION,0.8,0.75,0.6666666666666666,0.9090909090909091,0.7784989441615229,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,777
2,TEST,0.52,0.3333333333333333,0.25,0.7692307692307693,0.4385290096535146,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,777
3,VALIDATION,0.55,0.64,0.8888888888888888,0.2727272727272727,0.4923659639173309,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,777
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,777
