fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
2,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.0001,resize_smaller_hu_m300_1400_separadas
2,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,0.0001,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.0001,resize_smaller_hu_m300_1400_separadas
3,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,0.0001,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.0001,resize_smaller_hu_m300_1400_separadas
4,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,0.0001,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.55,0.5263157894736842,0.5,0.6,0.5477225575051661,16,0.0001,resize_smaller_hu_m300_1400_separadas
5,TEST,0.68,0.7142857142857143,0.9090909090909091,0.5,0.674199862463242,16,0.0001,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.47000000000000003,0.6018148820326679,0.9,0.12,0.10954451150103321,16,0.0001,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.52,0.6617760617760619,0.9818181818181818,0.1,0.1348399724926484,16,0.0001,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,16,0.001,resize_smaller_hu_m300_1400_separadas
1,TEST,0.52,0.5384615384615384,0.5833333333333334,0.46153846153846156,0.5188745216627708,16,0.001,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.55,0.6666666666666666,1.0,0.18181818181818182,0.4264014327112209,16,0.001,resize_smaller_hu_m300_1400_separadas
2,TEST,0.52,0.6666666666666666,1.0,0.07692307692307693,0.2773500981126146,16,0.001,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,16,0.001,resize_smaller_hu_m300_1400_separadas
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,16,0.001,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,16,0.001,resize_smaller_hu_m300_1400_separadas
4,TEST,0.4,0.5714285714285714,0.8333333333333334,0.0,0.0,16,0.001,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.55,0.6896551724137931,1.0,0.1,0.31622776601683794,16,0.001,resize_smaller_hu_m300_1400_separadas
5,TEST,0.52,0.6470588235294118,1.0,0.14285714285714285,0.3779644730092272,16,0.001,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.5900000000000001,0.65845804370542,0.8666666666666666,0.3472727272727273,0.5147557070369375,16,0.001,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.504,0.6137553780817538,0.85,0.19780219780219782,0.33611175526528914,16,0.001,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,2,1e-05,resize_smaller_hu_m600_1500_separadas
1,TEST,0.52,0.45454545454545453,0.4166666666666667,0.6153846153846154,0.5063696835418333,2,1e-05,resize_smaller_hu_m600_1500_separadas
2,VALIDATION,0.55,0.47058823529411764,0.4444444444444444,0.6363636363636364,0.5318160234783105,2,1e-05,resize_smaller_hu_m600_1500_separadas
2,TEST,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,2,1e-05,resize_smaller_hu_m600_1500_separadas
3,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,2,1e-05,resize_smaller_hu_m600_1500_separadas
3,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,2,1e-05,resize_smaller_hu_m600_1500_separadas
4,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,2,1e-05,resize_smaller_hu_m600_1500_separadas
4,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,2,1e-05,resize_smaller_hu_m600_1500_separadas
5,VALIDATION,0.6,0.5,0.4,0.8,0.5656854249492381,2,1e-05,resize_smaller_hu_m600_1500_separadas
5,TEST,0.4,0.11764705882352941,0.09090909090909091,0.6428571428571429,0.2417468892076141,2,1e-05,resize_smaller_hu_m600_1500_separadas
MEAN,VALIDATION,0.55,0.5525412923790205,0.6355555555555555,0.4872727272727273,0.45020120402925123,2,1e-05,resize_smaller_hu_m600_1500_separadas
MEAN,TEST,0.48,0.456124754142657,0.5515151515151515,0.4054945054945055,0.3320622098237266,2,1e-05,resize_smaller_hu_m600_1500_separadas
1,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,2,0.0001,resize_smaller_hu_m600_1500_separadas
1,TEST,0.56,0.6206896551724138,0.75,0.38461538461538464,0.5370861555295747,2,0.0001,resize_smaller_hu_m600_1500_separadas
2,VALIDATION,0.65,0.72,1.0,0.36363636363636365,0.6030226891555273,2,0.0001,resize_smaller_hu_m600_1500_separadas
2,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,2,0.0001,resize_smaller_hu_m600_1500_separadas
3,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,2,0.0001,resize_smaller_hu_m600_1500_separadas
3,TEST,0.52,0.6470588235294118,0.9166666666666666,0.15384615384615385,0.3755338080994054,2,0.0001,resize_smaller_hu_m600_1500_separadas
4,VALIDATION,0.6,0.5,0.4444444444444444,0.7272727272727273,0.5685352436149611,2,0.0001,resize_smaller_hu_m600_1500_separadas
4,TEST,0.6,0.4444444444444444,0.3333333333333333,0.8461538461538461,0.5310850045437944,2,0.0001,resize_smaller_hu_m600_1500_separadas
5,VALIDATION,0.6,0.6666666666666666,0.8,0.4,0.5656854249492381,2,0.0001,resize_smaller_hu_m600_1500_separadas
5,TEST,0.44,0.5625,0.8181818181818182,0.14285714285714285,0.34188172937891387,2,0.0001,resize_smaller_hu_m600_1500_separadas
MEAN,VALIDATION,0.5900000000000001,0.6208115942028984,0.76,0.44363636363636366,0.5601750809352695,2,0.0001,resize_smaller_hu_m600_1500_separadas
MEAN,TEST,0.528,0.579938584629254,0.7303030303030303,0.3516483516483516,0.4448231414410406,2,0.0001,resize_smaller_hu_m600_1500_separadas
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,2,0.001,resize_smaller_hu_m600_1500_separadas
1,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,2,0.001,resize_smaller_hu_m600_1500_separadas
2,VALIDATION,0.45,0.42105263157894735,0.4444444444444444,0.45454545454545453,0.4494665749754947,2,0.001,resize_smaller_hu_m600_1500_separadas
2,TEST,0.36,0.3333333333333333,0.3333333333333333,0.38461538461538464,0.35805743701971643,2,0.001,resize_smaller_hu_m600_1500_separadas
3,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,2,0.001,resize_smaller_hu_m600_1500_separadas
3,TEST,0.56,0.6206896551724138,0.75,0.38461538461538464,0.5370861555295747,2,0.001,resize_smaller_hu_m600_1500_separadas
4,VALIDATION,0.6,0.5,0.4444444444444444,0.7272727272727273,0.5685352436149611,2,0.001,resize_smaller_hu_m600_1500_separadas
4,TEST,0.52,0.3333333333333333,0.25,0.7692307692307693,0.4385290096535146,2,0.001,resize_smaller_hu_m600_1500_separadas
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,2,0.001,resize_smaller_hu_m600_1500_separadas
5,TEST,0.32,0.2608695652173913,0.2727272727272727,0.35714285714285715,0.3120938919661796,2,0.001,resize_smaller_hu_m600_1500_separadas
MEAN,VALIDATION,0.63,0.603859649122807,0.6288888888888889,0.6290909090909091,0.6242890175835083,2,0.001,resize_smaller_hu_m600_1500_separadas
MEAN,TEST,0.48,0.4376451774112944,0.4545454545454545,0.5021978021978022,0.4572558218778668,2,0.001,resize_smaller_hu_m600_1500_separadas
